L4 | Sat Dec 08 22:58:12 2018 (810 ms) | general | Received compressed data with SHA1 = 37F5B0AAA1DC47FC874ACDF7AFAC6A8229EEAD19

L4 | Sat Dec 08 22:58:13 2018 (238 ms) | general | Received compressed data with SHA1 = 012DFBD77732F01614C728AC02621352D46FC8B7

L4 | Sat Dec 08 22:58:13 2018 (722 ms) | general | Received compressed data with SHA1 = C58B2DA67375021D5742C385625424E596026712

L4 | Sat Dec 08 22:58:15 2018 (188 ms) | general | Received compressed data with SHA1 = 26405D4872FD37142592C45DB65689AF95FD6827

L4 | Sat Dec 08 22:58:15 2018 (707 ms) | general | Received compressed data with SHA1 = E1ED0E491F638CBFFA5DE23696BAD2364DB4DC9C

L4 | Sat Dec 08 22:58:17 2018 (81 ms) | general | Received compressed data with SHA1 = 738EA53CEA748F89B6839AF60C2AE9C9B67924A0

L4 | Sat Dec 08 22:58:18 2018 (235 ms) | general | Received compressed data with SHA1 = 4873905F4D522FCFFC4CA1CE3E4270E8B213FED9

L4 | Sat Dec 08 22:58:18 2018 (538 ms) | general | Received compressed data with SHA1 = AE61F7C9E17232DDB9F5E30E976C2A9A61352833

L4 | Sat Dec 08 22:58:18 2018 (787 ms) | general | Received compressed data with SHA1 = BDA545EAFD4BDF27FD5E4C64C5FFCE8D36392F34

L4 | Sat Dec 08 22:58:22 2018 (806 ms) | general | Received compressed data with SHA1 = 8B35225A0E2FA7795BDD74AEA5338A2644FA3412

L4 | Sat Dec 08 22:58:24 2018 (391 ms) | general | Received compressed data with SHA1 = CB0EF99A5EBEAE33BD991B8532E5E9601AB3EBE9

L4 | Sat Dec 08 22:58:26 2018 (632 ms) | general | Received compressed data with SHA1 = 4A19F2FC94240A5FD50FBDF9F9D89BB9190BD3DB

L4 | Sat Dec 08 22:58:26 2018 (898 ms) | general | Received compressed data with SHA1 = E1DE2BA1BA300F82839645408305B255F1BBEC06

L4 | Sat Dec 08 22:58:27 2018 (449 ms) | general | Received compressed data with SHA1 = 2683D6D05D984980F89639D4F0909134FD9A1B4A

L4 | Sat Dec 08 22:58:28 2018 (987 ms) | general | Received compressed data with SHA1 = 6A06C559B59A8B4C935CCBE5AEDB7682E19B2CE0

L4 | Sat Dec 08 22:58:30 2018 (892 ms) | general | Received compressed data with SHA1 = D7328164B6713011A1FF71D641914F49E3FBD24D

L4 | Sat Dec 08 22:58:32 2018 (54 ms) | general | Received compressed data with SHA1 = 3D6D0F2A42F9E550CC859B45B17609EF2EEC06B9

L4 | Sat Dec 08 22:58:33 2018 (420 ms) | general | Received compressed data with SHA1 = B889903BBE5F2F9F630E54620B227C213796791B

L4 | Sat Dec 08 22:58:34 2018 (163 ms) | general | Received compressed data with SHA1 = 4EBA118AC8779C24A35CF459DC18646353750FA7

L4 | Sat Dec 08 22:58:36 2018 (388 ms) | general | Received compressed data with SHA1 = 9804A73C9E75D0A22740AD414B363F35B559118A

L4 | Sat Dec 08 22:58:37 2018 (574 ms) | general | Received compressed data with SHA1 = CD218A564510B1583564AEC4AF129BC2EA5AF790

L4 | Sat Dec 08 22:58:42 2018 (951 ms) | general | Received compressed data with SHA1 = 2E555EBFFB62F71EE1E2B41702A3163610B03CA2

L4 | Sat Dec 08 22:58:46 2018 (168 ms) | general | Received compressed data with SHA1 = BC0E5E2419CA175F7127EBC6DE5FF2669D3DCC0A

L4 | Sat Dec 08 22:58:48 2018 (725 ms) | general | Received compressed data with SHA1 = B3A62EBB8BC57DB4CB913CD1DF548DCD9600D6B5

L4 | Sat Dec 08 22:58:49 2018 (690 ms) | general | Received compressed data with SHA1 = CFC044EC5DF300888B48C7B3401EBFA3C8BF17FD

L4 | Sat Dec 08 22:58:51 2018 (913 ms) | general | Received compressed data with SHA1 = A086CB32A6A60697BADC6C2615377C54DBAF75A8

